session_id,participant_id,validation_type,timestamp,calibration_accuracy,glasses,total_duration_ms,total_duration_sec,completed_tasks,total_tasks,completion_rate,avg_task_duration_ms,avg_valence,std_valence,min_valence,max_valence,avg_negative_prob,max_negative_prob,total_samples,emotion_distribution,negative_emotions_ratio,modal_shown_count,modal_closed_count,total_clicks,error_corrections,total_interactions,total_fixations,total_gaze_distance,avg_gaze_speed,fixations_per_second
session_1777270912703_5ihlp051a,85,inline,1777270912703,53,False,160675,160.675,2,2,1.0,80337.5,-0.11507378574478325,0.12462637057032262,-0.49003778318854074,0.7864361951355932,0.2879980807419635,0.9897815102838763,1032.0,"{'neutral': 797, 'sad': 231, 'happy': 3, 'angry': 1}",0.2248062015503876,1,0,11,0,31,1988,576418.2836741657,3464.61435253416,11.949054233559531
session_1777271281935_1tg6bg5on,86,modal,1777271281935,36,False,114769,114.769,2,2,1.0,57384.5,-0.0008637250542671557,0.0026808388645012476,-0.04758145314527735,0.013275724259434438,0.0021212661324388335,0.11933307342031507,648.0,{'neutral': 648},0.0,4,4,17,2,31,774,192575.1980452272,1479.810950514675,5.947669727590579
session_1777271420000_b8lxg1fl3,49,inline,1777271420000,38,False,124995,124.995,2,2,1.0,62497.5,-0.08097786989020815,0.14224184681432384,-0.6196257778250058,0.026525678813777633,0.1691692901894435,0.9989522182247068,743.0,"{'neutral': 629, 'sad': 103, 'angry': 11}",0.15343203230148048,6,5,35,0,65,1564,919605.0240757535,6566.074686019346,11.167121253230897
session_1777271742716_uwzjk270y,35,inline,1777271742716,37,True,79241,79.241,2,2,1.0,39620.5,-0.00775690060472077,0.10290743509959051,-0.7655956762127518,0.6606016887858003,0.0321454920463851,0.9999854144688647,346.0,"{'neutral': 335, 'angry': 5, 'happy': 3, 'sad': 2, 'disgusted': 1}",0.023121387283236993,2,1,35,1,76,545,158880.2361950154,1767.5552215004993,6.0631682000734255
session_1777271827357_5bqeqn1rl,15,inline,1777271827357,55,False,102578,102.578,2,2,1.0,51289.0,-8.488437248275334e-05,0.00393993475320082,-0.031043450596078517,0.059845699753100244,0.0006962200276897864,0.05208540158721009,627.0,{'neutral': 627},0.0,2,1,26,1,48,1290,459409.80816647393,4086.1852545270294,11.473805923685848
session_1777272104051_mjdxhtefx,98,modal,1777272104051,28,False,98765,98.765,2,2,1.0,49382.5,0.3409493893098295,0.3763947178235487,-0.39176477567737045,0.7999999998507857,0.02590321644557522,0.9919449479509694,510.0,"{'neutral': 273, 'happy': 228, 'sad': 9}",0.01764705882352941,10,10,30,4,56,648,180876.39293440068,1718.426260813064,6.156360147068604
session_1777272391000_v3b2wqzev,39,modal,1777272391000,37,True,135811,135.811,2,2,1.0,67905.5,0.05082165643448337,0.2935386498324045,-0.7858301272344987,0.7999999999994342,0.07862268521352056,0.9989985204384393,874.0,"{'neutral': 710, 'happy': 108, 'angry': 28, 'sad': 28}",0.06407322654462243,4,3,26,2,41,1587,415371.7845497001,2910.702389893137,11.120843698538943
session_1777272540173_l7y2p1zg4,36,modal,1777272540173,36,True,121290,121.29,2,2,1.0,60645.0,0.04676665471691559,0.1593153742258572,-0.39814397684074976,0.7998099775159118,0.018402826551961484,0.9954530035955287,659.0,"{'neutral': 621, 'happy': 27, 'sad': 10, 'surprised': 1}",0.015174506828528073,13,13,28,4,63,809,176597.34671674122,1377.6433575431495,6.311043155365557
session_1777273423419_n0m8es41n,30,modal,1777273423419,31,False,120069,120.069,2,2,1.0,60034.5,-0.10727379608295734,0.1555309046085725,-0.6056704196626016,0.7337486828228067,0.27972156344323107,0.9999972452235169,643.0,"{'neutral': 471, 'sad': 166, 'happy': 5, 'angry': 1}",0.25972006220839816,7,6,22,1,41,781,217016.74910376628,1692.336328644803,6.09038094124069
session_1777273957681_fp5eei5uh,66,modal,1777273957681,33,False,228924,228.924,2,2,1.0,114462.0,0.015516055003065337,0.1330857187882293,-0.37889900603865384,0.7999809985880689,0.027893189731563375,0.9472998074143391,1310.0,"{'neutral': 1235, 'happy': 37, 'sad': 21, 'surprised': 17}",0.01603053435114504,9,8,44,5,70,2877,1426234.5207617686,5907.151700042944,11.915905269174376
